bedrooms,bathrooms,sqft,floors,price
5,2.5,3650,2,3
3,2,1930,1,1
4,2.5,1940,1,1
2,1,1200,1,1
2,2,1350,1,1
4,2.5,2710,2,1
3,2.5,2430,1,1
3,1.75,1710,1,1
3,1.75,2330,1,1
3,1,1090,1,1
3,1.5,1200,1,1
3,1.5,1570,1,1
4,3,3110,2,1
3,1.75,1370,1,1
3,1.5,1180,1,1
3,1.75,2240,2,2
4,1,1450,1,1
4,2.5,2730,2,1
4,1.75,1600,1,1
3,2.5,2090,1,1
3,1.75,2360,1,1
5,2.5,2820,2,1
3,2.5,2600,1,2
4,1.75,1560,1,1
4,2.5,2860,2,1
4,2.5,2820,2,1
3,2.5,3240,2,1
2,1,1190,1,1
3,3,1850,1,1
3,2,1960,1,1
3,2.5,2390,1,2
4,2,1480,1,1
2,1,1340,1,1
3,2.5,1770,2,1
2,1,1210,1,1
3,1,1160,1,1
3,2.5,1930,2,1
3,2.5,1270,3,1
4,2.5,3310,2,2
4,2.75,2710,2,1
3,1.75,1800,1,1
5,2.5,2210,1,1
4,1.5,1920,1,1
4,1.75,2190,1,1
3,2.5,2540,2,1
4,2.75,2920,2,1
2,1,1600,1,1
3,2.5,1650,1,1
3,1,1010,1,1
2,2.5,2680,1,2
3,2.5,2200,1,1
4,2.5,2530,2,1
3,2.5,2850,2,2
4,2,2280,1,1
3,2.5,1900,2,1
3,1,1330,1,2
2,3,1270,2,1
4,3,2170,2,2
4,2.5,2730,2,2
4,2.5,2120,1,2
3,2.5,2490,2,2
4,3,3690,2,2
2,1,2540,1,1
4,3,2340,1,1
2,1.75,2110,1,1
2,1,1140,1,1
2,3,1410,2,1
2,1,1200,1,1
5,2.5,3180,2,2
3,1.5,2160,1,1
3,1.75,1560,1,1
5,2.75,2740,1,1
3,2.5,1680,3,1
5,2.5,3090,1,1
5,3.5,4010,2,2
4,2.5,3180,2,2
3,1.75,1330,1,2
4,2.5,2370,2,1
5,2,1840,1,1
4,2.5,2910,2,1
4,1,2070,1,1
3,2.5,2230,2,1
2,1,1380,1,1
5,2.75,3190,1,2
3,1.75,1670,1,1
4,1.75,1970,1,1
3,1,1450,1,1
7,2,13540,3,3
3,2.5,1880,2,1
3,1.75,1880,1,1
3,1.75,1920,1,1
4,2.5,2910,2,1
3,2.5,3240,2,2
3,2,1550,1,1
5,2,2050,1,1
2,2.5,2220,2,2
4,1.75,2300,1,1
3,2,1800,1,1
4,1.75,2010,1,1
3,2.5,1790,2,1
4,2.5,2440,2,1
3,2.5,1940,2,1
2,1.5,1160,2,1
4,2.5,3400,2,2
3,3,1571,3,1
3,2.5,1408,3,1
3,2.5,3040,2,1
5,3.5,4490,2,2
2,2.5,1590,2,1
4,2.5,2450,2,2
4,2,1440,1,1
3,1,1350,1,1
4,2.5,2150,2,1
3,1.75,1490,1,1
3,2,2000,2,1
2,1,1030,1,1
2,1,1750,1,1
3,1.75,1580,1,1
4,2.5,2110,2,1
4,2,1300,1,1
3,1.5,1630,1,1
4,2.75,3370,1,2
4,2.5,1890,1,1
4,2,1520,1,1
2,1,900,1,1
3,1,1050,1,1
3,1.75,1260,1,1
4,2.5,2290,2,2
4,2.5,2331,2,1
5,2.5,2240,1,1
4,3,2450,1,1
4,3,3100,2,1
4,2,2060,1,1
3,1.75,1850,1,1
4,1.75,1840,1,1
4,2,3740,2,2
3,1.5,1420,1,1
3,1,1510,1,1
3,1.75,2130,1,1
3,1.75,1630,1,1
3,2.5,1790,2,1
4,2.5,2000,2,1
4,2.5,3030,2,1
3,1.5,1310,1,1
4,2.5,3880,2,2
5,2.5,2910,1,1
3,2.5,2970,1,1
2,1.75,1660,1,1
4,2.5,3200,2,2
4,2,2680,1,1
3,1,1230,1,1
4,2.5,2740,2,1
4,3.5,3380,2,1
3,1,1110,1,1
5,4,4510,2,3
2,1.75,1170,1,1
3,2.5,2200,2,2
3,1.5,800,1,1
3,2.5,1480,3,1
5,3.75,2890,1,1
3,2.5,2690,3,2
3,2,1270,3,1
5,3,4490,2,3
4,2.5,3040,2,2
3,1.75,1250,1,1
3,2.75,1540,1,1
3,2.5,1600,2,1
3,1,1110,1,1
3,1.75,1840,1,1
3,2.75,2520,1,2
3,2.5,2680,2,1
4,2.75,2410,1,2
4,1.75,1720,1,1
3,1.75,2070,1,1
3,2,1760,2,1
3,1.75,1680,1,1
3,1.75,2190,1,1
3,2.5,2030,2,1
3,3,2270,2,1
3,2,1610,1,1
2,1,760,1,1
2,1,1640,1,1
3,3,2960,2,2
3,2.5,1940,1,1
3,2,1410,1,1
3,1,1040,1,1
2,1,820,1,1
2,1,910,1,1
7,1.75,3700,2,1
4,2.5,2180,1,1
3,2.5,1600,2,1
3,1.75,1500,1,1
3,1,1340,1,1
3,2,1860,1,1
2,1,1040,1,1
3,1.5,1380,1,1
3,1.75,1640,1,1
5,1.75,3000,1,1
4,2.75,2140,1,1
3,2,1760,1,1
3,2.5,1830,2,1
4,2,2210,1,2
4,1,1490,1,1
3,1.5,1260,2,1
5,1.5,4270,2,3
4,3.5,3900,2,2
2,2.5,1150,3,1
4,2.75,2656,2,1
5,2.75,2410,1,1
2,1,820,3,1
2,1,1540,1,1
3,2.75,2090,2,1
5,2.5,3160,1,2
4,1.75,1730,1,1
3,1,1670,1,1
4,2.5,2550,2,1
5,3,3040,1,2
4,2.5,2020,2,1
4,2.5,2660,2,2
2,1.5,980,2,1
3,2.5,1960,1,1
2,1,720,1,1
2,2.5,1360,2,1
2,2,1870,1,1
4,1.5,2130,1,1
4,2.5,1810,2,1
2,1.75,2200,1,1
4,2.5,2460,2,1
3,2,1240,1,1
3,1.5,1260,1,1
3,2.75,2015,2,2
3,1.75,1410,3,1
2,1.5,1110,2,1
3,2.5,2310,2,1
2,1.5,1020,3,1
2,1,980,2,1
4,3.5,3810,1,2
4,2.75,2790,2,2
3,2.5,1850,2,1
2,1,960,1,1
3,3,2480,1,1
4,3,3750,2,2
4,2.5,2600,2,1
3,1.75,1390,1,1
4,2.5,2260,2,1
2,1,810,1,1
4,2,1650,1,1
3,2.5,2100,2,1
3,1.5,1060,1,1
3,1.5,1500,1,1
4,2.75,1970,1,1
4,2.75,3720,1,2
4,2,2190,1,1
3,2,1920,1,1
3,1,1160,1,1
4,3,2163,2,1
5,3,3480,1,1
4,2.5,2840,2,1
2,1,1150,1,1
4,2.75,3100,2,2
3,2.5,1420,1,1
3,1.75,1750,1,1
5,1.75,2320,1,1
2,1,1420,1,1
4,2.5,1940,2,1
3,2,1410,1,1
3,1,1360,1,1
3,1.75,1220,1,1
4,2.5,2830,2,2
4,2.75,3780,2,2
4,2.5,2330,2,1
3,2.5,3560,2,2
4,1.5,1470,1,1
3,1,1030,1,1
4,2.5,1930,1,1
3,1.75,1780,1,1
3,2.5,2000,2,1
3,2,1690,1,1
5,1.5,5190,2,3
2,2,1150,1,1
4,3.5,2730,2,2
4,2.5,2840,2,1
2,1.5,1020,2,1
3,2,1340,3,1
5,2.75,3060,1,1
3,2.5,2130,2,1
4,2,2520,1,2
4,1,1940,1,1
3,2.5,1350,3,1
3,2.5,1370,2,1
4,1.5,5420,1,2
4,2.5,2830,2,2
3,2.5,2010,2,1
4,2.75,3300,2,2
2,2.5,1230,2,1
3,2,2560,1,1
4,2,1730,1,1
3,2.5,2920,1,2
3,1,990,1,1
4,2.5,3040,2,1
3,1.5,1370,1,1
3,2.5,1940,2,1
3,2.5,1040,2,1
3,1.75,1720,1,2
3,1,980,1,1
4,2.5,3110,2,2
5,3,2100,1,1
3,1.5,2020,1,1
4,1.75,2350,1,2
4,2,1770,2,1
4,3.75,3490,2,2
2,1.5,830,2,1
2,2.5,980,2,1
3,2.5,1570,3,1
4,2.5,2160,2,1
4,3.75,3280,2,2
4,2.5,3360,2,1
5,2.75,3150,2,2
3,3.5,1810,2,1
4,2.5,2740,2,1
5,1.75,3830,1,1
2,2,1680,1,1
3,2,1770,1,1
3,1,1090,1,1
5,2.5,3001,2,1
5,3,2450,2,1
4,2,2250,1,1
3,1.5,1240,1,1
4,2,2260,1,1
4,1.75,2090,1,1
5,1.75,2020,1,1
3,1.75,1960,1,1
4,2.5,5300,2,3
3,1.5,1310,1,2
3,1,1040,1,1
3,1.75,1090,1,1
2,1,650,1,1
3,2,1480,1,1
2,1,790,1,1
4,2.5,3560,1,2
4,2.5,3000,2,1
4,2.5,3490,2,2
3,1.75,2340,1,2
3,1.75,1650,1,1
4,1.5,2740,2,2
3,2.75,1250,2,1
3,1.75,1690,1,1
4,1.75,1950,1,1
5,2,2290,1,1
3,1,1440,2,1
4,1.75,2180,1,1
4,1,1410,1,1
3,2.5,1950,2,1
3,1,1660,1,1
3,1,1390,1,1
3,2,1350,1,1
3,2,1530,1,1
3,1.5,1270,1,1
4,2.5,2040,2,1
3,3.5,2876,2,1
3,2.5,1580,2,1
4,3.5,3400,2,1
5,2.5,2540,2,1
2,1,1170,1,1
5,5,5774,1,2
3,1.75,2170,1,1
4,2.75,2450,1,1
2,1,700,1,1
3,2.5,1780,1,1
3,2,1850,1,1
3,2,1570,1,1
3,1,1290,1,1
5,2,1700,1,1
2,1.5,1159,1,1
4,2.5,2150,1,1
3,1,860,1,1
3,2.5,3100,1,2
3,1,1100,1,1
3,1.5,1830,1,1
3,3.5,2100,2,1
4,2.5,2310,2,1
3,1,1660,1,1
5,1.5,3810,2,2
3,1.75,2110,2,1
4,2.5,2470,2,1
3,1,1480,1,1
5,3,2257,1,1
2,1,700,1,1
4,2,1630,1,1
4,2.5,3430,2,2
3,1.75,1340,1,1
2,1,980,1,1
3,2.5,2580,2,2
4,2.5,2230,2,1
4,2,2290,1,2
3,1,1260,1,1
4,2.75,1680,1,1
4,2.5,3320,2,2
4,2.5,3040,2,1
4,2.75,2270,1,1
3,2.5,2910,2,1
2,1,1240,1,1
3,2.75,2580,2,1
3,2.75,2470,2,2
3,2.5,1690,2,1
4,2.5,2240,1,1
3,2,1650,1,1
4,2.5,2710,2,1
3,1.5,1260,1,1
3,1,1150,1,1
4,2.75,2550,1,1
3,1.75,1490,1,1
4,1.75,2020,1,1
2,1,1320,1,1
3,1,1230,1,1
4,2.5,2070,2,1
4,1.75,2930,1,2
3,1,1090,1,1
3,1.5,1490,1,1
3,1.5,1120,1,1
4,2.5,3240,2,2
4,2.5,2150,2,1
3,2.5,2240,2,1
3,2,1400,1,1
5,1.75,2000,2,1
4,2.5,2680,2,1
4,2,1670,1,1
4,3,3150,2,1
4,1.75,1890,1,1
7,3.5,2870,1,1
3,1,1160,1,1
4,1.75,3550,2,3
3,1.75,1790,1,2
3,1.75,1680,1,1
3,2.5,4560,2,1
3,1,1630,1,1
3,2.5,2700,2,1
3,2.5,1700,2,1
3,2.5,2360,2,1
4,2,2560,1,1
3,1.5,1340,1,1
3,1,1060,1,1
3,1.5,850,1,1
4,1.75,1880,1,1
3,1,1230,1,2
4,1.75,2290,1,1
3,1,1660,1,1
3,2.5,1840,2,1
4,2.5,3020,1,1
3,1.75,1410,1,1
3,1,1010,1,1
3,1.75,1960,1,1
5,3.75,3580,2,2
4,2.5,2240,2,1
4,2.5,3310,2,2
3,2.5,1232,3,1
4,3.5,3930,2,2
3,2.5,1720,2,1
3,2.5,3150,2,2
4,2.5,3950,3,2
5,2.75,3030,2,2
2,1.5,1070,1,1
3,2.5,2320,2,1
1,1,700,1,1
3,2.5,2720,2,1
3,2.5,1800,2,1
3,2.5,1480,2,1
5,1,1460,2,1
4,3.5,1850,2,1
3,2.5,2170,2,1
3,1.75,1726,2,1
3,1.75,1180,1,1
4,1.5,1370,1,1
3,2.5,2670,1,1
3,1,1260,1,1
3,2,2050,1,2
5,2.75,2830,2,2
2,1,910,1,1
4,2.5,2440,2,1
3,2,2180,1,2
3,2,1900,1,1
3,2,2220,1,2
4,2.75,3280,2,2
3,2.5,2740,2,1
2,1,830,1,1
2,1,1010,1,1
5,1.75,1730,1,1
4,2.5,3160,2,1
4,2.5,2340,2,1
3,1.5,1170,1,1
2,1,1160,1,1
3,3,1970,1,1
4,3,5520,2,2
2,2.5,1310,2,1
3,2,1700,1,1
3,2.5,2480,2,1
5,2.5,1970,2,1
4,2.5,2060,1,1
3,2.5,2130,1,1
3,1,1290,1,1
4,3.5,3370,2,1
4,3.5,3410,2,2
4,2.5,2490,2,1
2,1,770,1,1
1,1.5,810,2,1
4,2.5,3060,1,1
3,2.5,1690,2,1
3,1.75,1890,1,1
2,2,1470,2,1
2,1,1060,1,1
4,2.5,3480,2,2
4,1.75,2310,1,1
3,1.75,2010,1,1
2,1.5,1660,1,1
3,2.5,2200,2,1
4,2.5,2460,2,1
2,1.75,2430,1,2
3,1,1370,1,1
3,1.75,1800,1,1
3,1.75,2200,2,1
2,1,700,1,1
3,2.5,1920,2,1
5,2.75,2190,1,1
3,2.5,1350,3,1
3,2.5,1680,2,1
5,1.75,1250,1,1
3,1,950,1,1
3,3.5,2320,2,1
2,2.5,2380,1,2
5,3,2100,1,1
4,2.5,2500,2,1
4,2.5,3230,2,2
3,2.5,2830,2,1
4,3,2690,1,1
3,2.5,1260,3,1
4,3.5,2680,2,1
3,2.5,2660,2,1
2,1.75,1480,1,1
2,1,950,1,1
2,1,860,1,1
4,2,1960,1,1
4,1.75,1280,1,1
4,2.5,2150,2,1
2,1,1790,1,2
4,2.75,2050,1,1
6,2,2150,1,2
4,1.75,2450,1,2
2,1,1050,1,1
3,1.75,1570,2,1
4,2,1820,1,1
2,1.75,1540,1,1
3,1.5,2060,1,1
4,3.5,4380,1,2
3,1,1090,1,1
3,1.75,1480,1,1
4,2.5,2800,2,1
3,1.5,1570,2,2
4,2,2850,1,2
6,3,1880,1,1
2,1,790,1,1
2,1.75,1300,2,1
3,1,2120,1,1
3,1.5,1540,2,1
3,1.5,1650,1,1
3,2.5,2090,2,1
4,1.75,2180,1,1
4,2.5,1990,2,1
4,2.5,2650,2,1
4,3.5,4460,1,3
3,1,910,1,1
3,2.5,2770,2,2
3,2,2390,2,2
3,2.5,3050,1,1
3,2.5,1700,2,1
5,3.5,3200,2,1
3,1.75,1200,1,1
4,1.5,2500,1,1
2,1,1150,1,1
4,1.75,1650,1,1
3,1.75,1140,1,1
3,1.75,3400,1,3
3,1,1180,1,1
3,2.5,1700,2,1
3,1.5,1240,1,1
3,2.5,2170,2,1
4,2.5,1600,1,1
4,2.5,3550,2,1
3,2,2010,2,1
3,1.75,1690,2,1
3,1.5,1270,3,1
4,2.75,3160,2,2
3,2.5,1210,3,1
4,3.5,3120,2,2
4,2.5,2670,2,1
4,2.5,2303,2,1
3,2.5,1800,2,1
5,3.5,4460,3,1
2,2.5,1590,2,1
4,3.5,3070,2,2
2,1.75,1330,1,1
3,1,990,1,1
4,2.5,1900,2,1
3,2.5,2020,3,2
3,1.75,2000,1,1
2,1.75,1100,1,1
1,1,960,1,1
4,2.75,3488,2,2
2,1.75,1890,2,2
4,2,2030,2,1
3,1.75,1380,1,1
3,1,1240,1,1
3,2.5,1900,2,1
3,2.5,2540,2,1
3,2.75,2100,2,1
4,2,1790,1,1
3,2,1170,1,1
3,1,1060,1,1
3,2,1540,1,1
5,3,2876,1,2
3,2.5,2150,2,1
2,1,1140,1,1
3,1.5,980,1,1
3,1.75,1230,1,1
3,1.75,1390,1,1
3,3.5,2380,2,1
3,1,1250,1,1
4,2.75,2290,2,2
2,1,790,1,1
3,2.5,2720,2,1
4,2.75,2550,1,1
2,1,1080,1,1
3,1.75,2470,1,1
2,1,850,1,1
3,2.5,1990,1,1
5,4,4850,2,2
3,1,1020,1,1
3,2.5,2420,2,1
4,2.5,2910,2,1
3,1.5,1060,1,1
4,2.5,2340,1,1
4,2.75,1800,1,1
4,2,1660,1,1
3,1.75,1300,1,1
3,1.5,1780,1,1
2,1,1030,1,1
3,1,1150,1,1
4,2.5,3290,2,1
4,2.5,3400,2,2
2,1,1200,1,1
4,2.5,2160,2,1
3,1,1450,1,1
4,2.5,3240,2,2
3,2,1470,2,1
4,2.5,2360,2,1
6,2,2220,1,1
4,3.5,2350,2,1
3,2.5,4460,2,3
3,2,1440,1,1
5,3.75,5330,2,2
4,2.5,2220,2,1
5,1.75,5305,2,3
3,4,3880,2,2
1,1,1170,1,1
3,1,870,1,1
4,2.5,2930,2,2
3,2.5,3160,1,3
2,1,800,1,1
4,2.5,2350,2,2
2,1.75,1060,1,1
3,1.75,2060,1,1
2,1.75,1560,1,1
4,1.75,3000,1,1
3,1.5,1660,2,2
3,1.75,1650,1,1
4,3,3220,2,1
3,1.5,2320,1,1
4,2.75,2750,1,1
3,1,910,1,1
2,1.5,840,2,1
6,2,2040,1,1
2,1.75,2860,1,1
2,1,740,1,1
4,1.75,2740,1,1
3,1,1250,1,1
4,2.5,3140,2,1
2,1,820,1,1
4,2.75,2570,2,1
4,3,3600,1,2
4,2,1580,1,1
2,1,1070,1,1
3,1,1070,1,1
4,2,1640,2,1
3,2.75,2890,2,2
3,1,1220,1,1
2,1,1400,1,1
3,1,1040,1,1
4,2,980,1,1
3,1.5,1360,3,1
5,2.5,2760,2,1
5,3.5,2420,2,1
3,2.5,2450,2,1
3,2.5,1550,2,1
1,1,550,2,1
2,2.5,1520,2,1
2,1,1680,1,1
3,2.5,2510,2,1
3,1,1700,1,1
3,1.75,1680,1,1
1,1,820,1,1
3,4,4380,2,2
3,2.5,2600,1,1
5,1.75,2120,1,1
4,2.75,2250,1,1
3,1,1800,1,1
3,2.5,2210,2,1
3,2,1560,2,1
4,2.75,2430,1,1
4,2.5,2560,2,1
3,1.5,1110,1,1
2,1.5,1030,1,1
4,1,1350,1,1
3,2,1540,2,1
4,1.75,1830,1,1
4,1.5,1930,2,1
4,2,2840,1,2
4,3.5,4220,2,2
3,1,1080,1,1
3,1.75,1620,1,1
4,3.5,4390,2,3
3,1.75,1620,1,1
3,1,1010,1,1
4,2.5,1750,1,1
3,2.5,1620,3,1
3,2,1220,3,1
2,2.5,750,2,1
4,1.75,1960,1,1
2,1,900,1,1
3,1.75,1940,1,1
3,1.75,1590,2,1
3,2.5,2930,2,1
4,2.5,2040,2,1
3,1,1220,1,1
4,2.5,2910,2,1
3,1.75,1050,1,1
3,2,1560,1,1
3,1.75,1680,1,1
3,2,1550,1,1
6,2.75,5700,1,2
3,2.5,2200,2,1
2,2.5,1740,2,1
3,1,1210,1,1
4,1.75,3420,1,2
4,2.5,3190,1,1
3,1.75,1920,1,1
2,1.75,1340,1,1
3,1.75,1700,1,2
4,2.5,2310,1.5,1
3,1.75,1510,1,1
3,2.5,2670,1,1
3,2.5,2090,1.5,2
5,2.5,3090,1,1
2,2.5,1240,2,1
3,2.5,1860,2,1
3,1.5,2000,1,1
4,1.75,2500,1,2
3,2,1060,1,1
3,2.5,1950,2,1
2,1,940,1,1
5,3.5,4180,2,3
3,1,1200,1,1
5,3.75,3990,2,2
2,1,1880,1,1
4,2.5,2280,2,1
3,1.75,2580,1,1
4,2.75,2600,1,2
4,2.5,3150,2,2
5,2.75,2220,1,1
2,2,1540,2,1
4,2,2340,1,1
3,1.75,2180,1,1
3,2.5,2780,2,2
4,2.75,2620,2,1
4,3.5,3760,2,2
4,2.5,2720,2,1
5,2.75,2080,2,1
3,2.5,2460,2,1
3,2.5,1960,2,1
4,2.5,2550,2,1
3,1.75,1620,1,1
3,1.75,1790,1,1
4,3.5,3480,2,3
4,1.75,2780,2,1
5,3,3640,2,3
1,1,750,1,1
3,1,960,1,1
3,1.5,2030,1,1
3,2.75,2930,1,1
2,2.5,1380,2,1
3,2,1720,1,1
2,1,1210,1,1
4,2.5,2910,2,1
4,2.5,2220,2,1
3,2,1380,1,1
3,2,1760,1,1
1,1,730,1,1
4,2.5,2460,2,2
3,1.75,2160,1,2
3,3,3740,2,2
4,2.5,2710,2,1
3,2.5,2680,2,1
4,2,1850,1,1
4,2.5,3190,2,2
3,2.5,2730,2,2
3,1.5,1840,2,1
4,2.5,2720,2,1
4,3.5,4370,2,3
3,2.5,2290,2,1
2,1,990,1,1
2,1.5,1140,2,1
4,1.5,1840,2,2
2,1,1110,1,1
4,2.5,2150,2,1
3,2.5,2230,2,2
2,1,1170,1,1
3,2.5,1960,1,1
3,1.75,1670,2,2
3,1.75,1890,1,1
3,1,950,1,1
4,2.5,2430,1,1
4,2,2360,1,2
3,1.75,1510,1,1
3,2.5,2080,2,1
3,2,1750,1,1
4,1.75,1790,1,1
4,2.75,2340,1,1
3,2.5,1690,2,1
4,2.5,2070,2,1
3,2.5,2240,2,1
4,3,4500,2,2
3,1.75,2770,1,1
3,1,1010,1,1
3,1.5,1120,1,1
5,2.5,3020,1,1
3,1.75,1990,1,1
3,1,1450,1,1
4,2.5,1920,2,1
2,2.5,1175,2,1
3,1.5,1320,1,1
5,2.5,3990,1,1
2,1,1140,1,1
3,2,2050,1,2
2,1,1230,1,1
4,2.5,3150,2,1
3,2.5,1350,2,1
3,2,1530,1,1
3,2.5,2290,3,1
2,1.5,1480,1,1
3,1.75,1970,1,1
2,1,720,1,1
3,2,1080,1,1
4,2.5,2790,2,1
5,2.75,2040,1,1
3,1,1320,1,1
3,2,2140,1,2
3,1.75,1660,1,1
3,2,2060,1,1
2,2.5,1140,3,1
4,2.5,2870,2,2
6,1.5,2550,1,1
3,1,1110,1,1
2,1,940,1,1
3,1.75,2880,1,1
3,1.5,1200,1,1
3,1,1030,1,2
2,2.5,1240,2,1
3,2,1200,1,1
5,2.5,2730,1,1
3,2.5,2437,2,1
4,2.5,3290,2,1
4,3.5,2910,2,1
3,2,1630,1,2
4,3,4410,2,2
3,2.5,1780,3,1
3,1.75,1420,3,1
